"filename","type","records_approx","date_range","description","primary_source","notes"
"food_agricultural_contamination_REAL.csv","contamination","29_rows","1986-2010","Food chain contamination: milk I-131 Germany 1986; Swedish lakes; Belarus long-term; agricultural restrictions and countermeasures","OECD-NEA Ch.VI; BfS; PubMed sources","14000 Swedish lakes exceeded 1500 Bq/kg threshold 1987; 7-8% Belarus small farm milk still exceeded limits 2005-2007"
"fukushima_chernobyl_comparison_REAL.csv","comparative","25_rows","1986_vs_2011","Side-by-side comparison of Chernobyl (1986) and Fukushima (2011) source terms doses contamination and health effects","WNA; UNSCEAR 2008; UNSCEAR 2013","Chernobyl ~10x larger total source term; 28 ARS deaths vs 0; positive void coefficient RBMK vs stable BWR"
"reactor_physics_REAL.csv","physics","38_rows","1986-04-25 to 1986-04-26","RBMK reactor design parameters; accident sequence physics; ORM values; void coefficient; graphite tip effect; prompt criticality calculation","INSAG-7; WNA; OECD-NEA Ch.I","ORM=8 rods at test (minimum 15); positive void coefficient dominant below 20% power; graphite tips added +2-3beta when AZ-5 pressed"
"am241_ingrowth_timeseries_REAL.csv","calculated_timeseries","115_rows","1986-2100","Annual Am-241 and Pu-241 activity 1986-2100; Bateman equation calculation; peak Am-241 2058.7; both ingrowth and initial-release components","Bateman equations; UNSCEAR 2008 (Pu241=2.6 PBq t1/2=14.29yr Am241 t1/2=432.2yr)","Am-241 total peaks 0.08274 PBq (82.7 TBq) at year 2058.7; 2026 value 0.0772 PBq = 11x original release; only isotope still increasing"
"isotope_decay_timeseries_REAL.csv","calculated_timeseries","80_rows","1986-2065","Annual activities for 16 major isotopes from Chernobyl source term; decay-corrected; Cs-137 Sr-90 Pu isotopes Am-241 Kr-85 Ru-106 short-lived isotopes","OECD-NEA source term + Bateman decay equations; half-lives from NNDC","2026: Cs-137=33.9 PBq Sr-90=3.82 PBq Pu-241=0.374 PBq Am-241_total=0.077 PBq; Am-241 peak 0.0827 PBq in 2058"
"contamination_zones_REAL.csv","contamination_areas","23_rows","1986-2026","Contamination area statistics by nuclide and deposition threshold; Cs-137 Sr-90 Pu-239+240 I-131 zones; national breakdowns Belarus Ukraine Russia; decay-corrected 2026 estimate","UNSCEAR 2008; JRC Cs-137 Atlas 1998; WHO 2006; Chernobyl Forum 2005","Total Cs-137 >37 kBq/m2: 125000 km2 in 1991; Belarus 46500 km2 (22.5% territory); Ukraine 37200 km2; Sr-90 >10 kBq/m2: 30000 km2"
"nci_ukraine_thyroid_cohort_REAL.csv","health_cohort","37_rows","1986-2015","NCI Ukrainian-American and Belarusian-American Thyroid Cohort study data; cohort sizes doses by round risk coefficients; ARS survivor cancer data; liquidator thyroid SIR","DCEG/NCI UATCS; Frontiers Endo 2020 doi:10.3389/fendo.2020.569041; PMC6770927; EHP doi:10.1289/ehp.0800184","UkrAm 13204 persons; mean dose 0.65 Gy; ERR/Gy=1.91 incident cases; liquidator thyroid SIR=3.35; ARS survivors 32/57 deaths from cancer/blood malignancies"
"ukraine_solid_tumor_incidence_REAL.csv","health_registry","16_rows","1999-2016","National Cancer Registry Ukraine solid tumor incidence AAPC 1999-2016 by cancer site and region; Joinpoint regression analysis","PMC6733202 JCO Global Oncol 2019 doi:10.1200/JGO.19.00099","Thyroid AAPC +4.2% largest nationally; Kyiv region ~2x national thyroid rate; stomach/lung decreasing; Volyn pancreatic AAPC +7.0%"
"cez_wildlife_contamination_REAL.csv","wildlife_ecology","15_rows","2000-2025","Radionuclide contamination in CEZ wildlife; wild boar muscle/bone Cs-137/Sr-90; fish in cooling pond/Pripyat River; birds fungi absorbed doses to biota; population data","Multiple CEZ wildlife studies; Beresford 2022; Mousseau/Moller; Deryabina 2015; ScienceInsights 2024","Wild boar mean 46000 Bq/kg Cs-137 = 77x EU limit (max 660000 = 1100x); catfish up to 50000 Bq/kg; soil organisms 0.7-1753 µGy/h absorbed dose"
"raw_downloads/unscear_2008_annex_d.pdf","raw_PDF","179_pages","1986-2006","Downloaded raw PDF: UNSCEAR 2008 Annex D Health Effects (5.6 MB); main source for population dose and health data","UNSCEAR 2008","Multiple CSVs extracted from this"
"raw_downloads/unscear_2017_thyroid_wp.pdf","raw_PDF","30_pages","1991-2015","Downloaded raw PDF: UNSCEAR 2017 White Paper evaluating thyroid cancer in Chernobyl-affected regions (1.1 MB)","UNSCEAR 2017","Parsed into thyroid_cancer_by_period_REAL.csv"
"raw_downloads/nea_chernobyl_status_2024.pdf","raw_PDF","119_pages","2022-2024","Downloaded raw PDF: NEA/CRPPH/R(2024)3 Radiological Protection During Armed Conflict (6.4 MB)","NEA/CRPPH 2024","Contains 2022 invasion impact on Chernobyl monitoring; dose rates 70x spike data"
"raw_downloads/chernobyl_airborne_europe.csv","raw_measurements","2051_rows","1986-04-27 to 1986-08-04","Raw European airborne monitoring data (CR line endings); original source data for 03_european_airborne_REAL.csv","GitHub Anderson-FM (IRSN France original)","CR line endings fixed in REAL version"
"cs137_body_burden_ukraine_REAL.csv","body_burden_screening","22_rows","2009-2026","Cs-137 body burden in Zhytomyr Ukraine residents 2009-2018 screening program; 109936 persons screened; annual means detection rates dose distributions; gender/age/seasonal breakdown; projected 2026 values","PMC7810316 (Korosten and Zhytomyr region 2009-2018)","Mean body burden declined 21.6 Bq/kg (2009) to 3.0 Bq/kg (2018); 45% detection rate 2009 to 11% 2018; autumn peak due to mushroom season"
"nuclear_context_comparison_REAL.csv","comparative_context","18_rows","1945-2017","Nuclear testing global fallout vs Chernobyl vs Fukushima vs Mayak vs Windscale comparison; release quantities by isotope; cancer projection model comparison (UNSCEAR vs IARC vs WHO)","UNSCEAR 2000 Annex C; UNSCEAR 2008; UNSCEAR 2013; IARC Cardis 2006","Testing Cs-137=948 PBq (11x Chernobyl); Sr-90=622 PBq (62x Chernobyl); IARC projects 25000 excess cancers vs UNSCEAR 6600 for Europe"
"cez_wildlife_population_census_REAL.csv","wildlife_ecology","16_rows","1987-2024","CEZ wildlife population census data from Deryabina 2015 Current Biology; helicopter surveys 1987-1996; track surveys 2008-2010; comparison to 4 uncontaminated Belarus reserves; mammal vs bird radiation response debate","Deryabina 2015 Current Biology doi:10.1016/j.cub.2015.08.005; Mousseau & Moller 2011 Oecologia; Baker 2017 Current Biology","Wolf density 19x reference reserves; elk/deer similar or higher; no mammal abundance-contamination correlation; roe deer 4x lower (wolf predation); brown bear recolonized"
"neuropsychiatric_longterm_health_REAL.csv","health","18_rows","1986-2026","Neuropsychiatric and long-term health effects; dose-dependent psychiatric disorder onset timeline; depression CVD cognitive impairment retinal angiopathy; mental health as primary Chernobyl health burden; Ukraine economic cost","PMC8629042 (35yr review); PMC9003131; WHO 2006; Chernobyl Forum 2005","Disorders at >300 mSv appear immediately; 50-300 mSv after 2yr; <50 mSv after 10yr; mental health is greatest public health problem per Chernobyl Forum 2005; Ukraine 5-7% budget for recovery"
"decontamination_countermeasures_REAL.csv","countermeasures","15_rows","1986-2016","Decontamination and countermeasure effectiveness data; KI distribution; milk ban; agricultural countermeasures (K fertilizer lime ploughing); sarcophagus/NSC containment; evacuation dose reduction; aerial drops","OECD-NEA Ch.VI; WHO 2006; UNSCEAR 2008; INSAG-7","Key missed opportunity: KI tablets not distributed in Belarus/Ukraine in first days (only Poland distributed); milk ban too late in USSR; these were primary thyroid cancer prevention failures"
"thyroid_cancer_sir_trends_REAL.csv","health_epidemiology","21_rows","1986-2019","Belarus annual thyroid cancer incidence rates 1986-2019; SIR for evacuees (13.0) liquidators (4.4) contaminated residents (2.4); temporal cohort case counts; Ukraine cleanup worker EOR/Gy; age-at-exposure effect; PTC overdiagnosis trend 2006-2019","ScienceDirect 2025 Belarus PTC trends; ScienceDirect 2020 SIR data; PMC10655930 Ukraine workers","Belarus rate: 1.5 (1986) to 12.5/100k (2015); post-2015 growth driven by overdiagnosis; Ukraine adult workers EOR=0.40 NOT significant vs children EOR=2-5"
"corium_fcm_physics_REAL.csv","physics_materials","16_rows","1986-2026","Corium and fuel-containing materials physics; mass estimates 170-220t; mineralogy (Chernobylite); Elephant Foot dose history 10000 R/hr 1986 to ~34 µSv/h 2026; Room 305/2 criticality concern; spent fuel inventory; corium composition","ISPNPP; INSAG-7; WNA; Science AAAS 2021; National Geographic","Elephant Foot 10000 R/hr in 1986 = instant lethal; ~34 µSv/h now after 140000-fold decay; k_eff <1.0 but doubled 2016-2021 due to FCM drying; ISF-2 for 21000 spent fuel assemblies"
"atmospheric_transport_plume_REAL.csv","meteorology_transport","23_rows","1986-04-26 to 1986-05-10","Atmospheric transport trajectories for Chernobyl plume; country-arrival dates; wind pattern shifts; wet vs dry deposition (99% wet); Ireland milk contamination; Magdeburg thunderstorm data; Cs-134/Cs-137 fingerprint ratio 0.57","OECD-NEA Ch.II; IRSN 2006 retrospective; Met Eireann; EPA Ireland","3 plume paths: Apr 26-30 Scandinavia/Benelux; Apr 29-May 5 Central/Southern Europe; May 1-10 France/UK/Ireland. Only 1% dry deposition vs 99% rainfall-controlled."
"radioactive_decay_chains_REAL.csv","nuclear_physics_reference","18_rows","1986-present","Radioactive decay chains for all major Chernobyl isotopes; Z N Q-values beta energies principal gammas gamma yields; includes Cs-137→Ba-137m (662 keV source explained); Sr-90 pure beta (no gamma); Pu-241→Am-241 Bateman; Ru-106→Rh-106 (512 keV monitoring); Xe-133 global tracer","NNDC; IAEA NuDat; UNSCEAR 2008; Kashparov 2020; PNAS 2019 (Ru-106 2017 event)","Key physics: Cs-137 has NO gamma itself — 662 keV from Ba-137m daughter in secular equilibrium; Sr-90 pure beta undetectable by gamma monitors; Am-241 alpha 5.49 MeV with 59.5 keV gamma; Rh-106 in-growth 30s for Ru-106 detection"
"rbmk_safety_modifications_REAL.csv","reactor_safety_history","15_rows","1986-2024","Post-Chernobyl RBMK design and operational modifications; graphite tip +2-3β→<+0.5β; enrichment 2.0→2.8%; ORM 15→30 rods; SCRAM 18s→12s; 80 additional fixed absorbers; comparative physics (BWR/PWR negative void coefficient); fleet status 17→11 reactors; INSAG-7 revised root cause","INSAG-7 1991; WANO; WNA; IAEA PRIS 2024","11 RBMK-1000 still operating Russia 2024 (Leningrad Smolensk Kursk); INSAG-7 reversed INSAG-1 attribution — both design flaws AND operator violations necessary; Belarus/Baltic RBMK-1500 shut 1990-2009 (EU accession condition)"
"fuel_particle_contamination_REAL.csv","nuclear_materials_physics","29_rows","1986-2026","Hot particle (fuel particle) data from Chernobyl; 3-type classification (UZryOx/UO2/oxidized-UO2); dissolution half-times by type (5-25 yr); particle size distribution (4-150 µm); activity per particle (1-10⁶ Bq); soil inventories 30-km zone; fraction in insoluble form over time; isotope fingerprint ratios","Kashparov 2004 PMID:14972414; Kashparov 2020 PMID:31419762; Levchuk 2020 PMID:32868094; Salbu 2001 PMID:11202686; J Nucl Materials 2000","Near-zone: >40% activity in insoluble fuel particles (1987); Type III fully dissolved by 1995-2000; Type I still 31% of Red Forest inventory (2015); Zr-95/Ce-144=0.73 fuel fingerprint; resuspension 2.6 particles/1000m3 wind vs 36 agricultural"
"soil_plant_transfer_factors_REAL.csv","food_chain_dosimetry","23_rows","1986-present","Soil-to-plant transfer factors (Fv) for Cs-137 Sr-90 I-131 Pu-238 Am-241 across food types; soil-to-milk Fm coefficients; foliar interception factors; countermeasure effectiveness (K fertilizer liming); explanation of mushroom/wildlife persistence","IAEA TRS 472 2010; Nisbet and Woodman 2000 PMID:10688450; IAEA TECDOC-1497; PMID:15196842","Cs-137 mushroom Fv=0.03-16.7 (100-5000x higher than cereals) explains persistent contamination; Sr-90 transfer 5-10x higher than Cs-137; I-131 Fm cow milk=0.004 d/L (sheep=0.29 d/L = 70x higher); aging reduces Cs-137 Fv >50x by 2010 vs 1986"
"chernobyl_accident_chronology_REAL.csv","event_chronology","43_rows","1986-04-25 to 2026-04-26","Precise event timeline: April 25 test preparations → April 26 explosion → evacuation → firefighting → international detection → 10-day graphite fire → liquidator campaigns → sarcophagus → NSC → 2022 invasion → 2025-2026 current state","INSAG-7; WNA Appendix 1; OECD-NEA Ch.I; Historical record; modern_monitoring_REAL.csv","Includes: 9-hour Kiev dispatcher delay; xenon pit at 00:28; ORM=8 at 01:22:30; AZ-5 press at 01:23:40; graphite tip +reactivity 01:23:41-43; first explosion 01:23:44; Forsmark detection April 28; Poland KI distribution April 29; graphite fire extinguished May 9"
"dose_conversion_factors_REAL.csv","nuclear_dosimetry","33_rows","1986-present","ICRP dose coefficients (Sv/Bq) for major Chernobyl isotopes: I-131 Cs-137 Cs-134 Sr-90 Pu-238/239 Am-241 Ru-106 Te-132 Sr-89 Ba-140 Xe-133 Pu-241; ingestion inhalation external pathways; adult and child (1yr 10yr) age dependence; KI protection efficiency; soil-to-dose-rate conversion","ICRP 72 1996; ICRP 68 1994; ICRP 119 2013; ICRP 158 2024; ICRP 144 2020; EPA FGR-15 2019","I-131 thyroid DCF: infant 2.4E-06 Sv/Bq vs adult 4.3E-07 (5.6x); explains child cancer excess; Pu-239 inhalation 6.2E-05 >> ingestion 2.5E-07; Cs-137 external ground: 0.0043 µSv/hr per kBq/m2; KI blocks >90% thyroid dose if given within 2h"
"reactor_activation_products_REAL.csv","nuclear_physics_materials","13_rows","1986-present","Neutron activation products in Chernobyl reactor structural materials: Co-60 Co-58 Mn-54 Fe-55 Ni-63 Ni-59 Nb-94 Zn-65 C-14 H-3 Cm-244 Eu-154; production reactions; initial 1986 activities; decay-corrected 2026 values; half-lives; dose significance timeline","NNDC; NUREG/CR-3474 OSTI:6776358; Kleszcz Mietelski 2010 Radiochimica Acta; ICRP 72; corium_fcm_physics_REAL.csv","Co-60 (t1/2=5.27yr): 99.4% decayed by 2026; Ni-63 (t1/2=101yr): 36% remains; Nb-94 (t1/2=20300yr): permanent; structural activation products <1% of total shelter activity; fuel/fission products dominate; Nb-94 key isotope for 100-year waste planning"
"chernobyl_cooling_pond_REAL.csv","aquatic_environment","28_rows","1981-2025","Cooling pond physical dimensions (22.9 km²; 151×10⁶ m³); radionuclide concentrations 1986-2025; 2014 drawdown Sr-90 impact (102 kBq/m³ floodplain peak); sediment inventories Cs-137=16.28 TBq/Sr-90=2.4 TBq; fish contamination timeline; ISF-2 status","Bugai 2022 Sci Rep doi:10.1038/s41598-022-22842-5; Science Total Environ 2023 PMID:36739017; IAEA TECDOC-1886; MDPI Water 2024; ACS EST 2018","2014 drawdown increased floodplain Sr-90 10x; sediment 80% Sr-90 in fuel particles; perch 7844 Bq/kg in CEZ lakes 2016; ISF-2 dry storage: 1698 assemblies Jan 2022 of 21217 capacity; seasonal Cs-137 in Kyiv dam from thermal desorption"
"cez_research_2022_2025_REAL.csv","recent_monitoring","20_rows","2022-2026","Recent CEZ research and monitoring 2022-2026: Russian invasion radiological impact; 2022 IAEA monitoring gap; Room 305/2 neutron flux stabilized 2022; 2023 cooling pond drawdown paper; 2024 wildlife biology; 2025 NSC drone damage; CEZ farming resumed 100ha; Kyiv reservoir Cs-137 seasonal dynamics","NEA/CRPPH/R(2024)3; Bugai 2022; PMID:37699376; PMID:39186765; Frontiers Public Health 2025; J Environ Chem Eng 2025; SaveEcoBot 2026","Feb 2025 NSC drone strike 6m breach; Oct 2025 16hr power loss; wolf density 7x uncontaminated reserves; frog melanin adaptation 2024; 200+ bird species; Prypiat 4.932 µSv/h April 2026; 100ha CEZ declassified for farming May 2025"
"radiation_dose_limits_REAL.csv","regulatory_reference","19_rows","1990-present","ICRP/IAEA radiation dose limits and reference levels: occupational 20 mSv/yr; public 1 mSv/yr; emergency levels 20-100 mSv; EU food limits Cs-137=1250 Bq/kg Sr-90=125 Bq/kg I-131=500 Bq/L; ARS thresholds 0.7 Gy; LD50=3.5 Gy; natural background 2.4 mSv/yr; LNT model basis","ICRP 103 2007; ICRP 118 2012; IAEA GSR Part 3 BSS 2014; ICRP 60 1991; EU Council Regulation 2016/52; UNSCEAR 2008","Every dose in dataset cross-referenced: Prypiat 43 mSv/yr = 43x public limit; liquidators average 117 mSv = 6x annual occupational limit; ARS patients 0.8-16 Gy; soil dose-rate conversion: 0.0043 µSv/hr per kBq/m2 Cs-137"
"red_forest_waste_sites_REAL.csv","contamination_ecology","17_rows","1986-2026","Red Forest (most contaminated area in CEZ): Cs-137 mean 412000 Bq/kg DM; 90% activity in top 4 cm; Pu-239/240 at 86.9 Bq/m2; tree burial in unlined trenches → groundwater Sr-90 3-4 orders magnitude above WHO; 2020 wildfire 11500 ha burned; Levchuk 2020 fuel particle validation; Russian 2022 trench-digging","Beresford 2022 PLOS ONE; Levchuk 2020 PMID:32868094; Evangeliou 2020 Sci Rep; DAZV Ukraine","10 km² of dead pine trees killed 1986; burial trenches = primary near-surface radioactive waste sites; 800+ waste sites total in CEZ; 2.5M m³ waste volume estimate; Russian 2022 trench-digging in Red Forest was highest-risk military action radiologically"
"retrospective_dosimetry_methods_REAL.csv","methodology_reference","11_rows","1986-2025","Dose reconstruction methods used for Chernobyl cohorts: EPR/ESR tooth enamel (±34 mGy accuracy; Zaborie application); FISH cytogenetics (best >250 mGy); whole-body Cs-137 counting (detection 270 Bq); direct thyroid I-131 measurement (400000 measurements 1986); milk consumption histories; RADRUE Monte Carlo method; TL/OSL bricks; personal dosimetry failures 1986","PMID:14744045 EPR; PMID:11833339 FISH; PMC7810316 WBC; PMC2930607 RADRUE; UNSCEAR 2008 dosimetry chapter","Human factors = largest uncertainty source (factor 3); dose measurement error → regression dilution → ERR/Gy may be underestimated; proxy respondents give 44% lower doses than self-report; Soviet pocket dosimeters systematically capped at 1 Gy and assigned 25 cGy to many workers"
"ukraine_crop_contamination_REAL.csv","food_contamination","16_rows","2011-2025","Sr-90 in Ukrainian grain crops 2011-2019 (Ivankiv district Kyiv region): 45% of samples exceed 20 Bq/kg permissible level; peak 60-70 Bq/kg; transfer factor 3x IAEA standard due to sandy Ca-poor soils; Cs-137 milk exceedances in Rivne 2016; mushrooms berries wild game; 1982 Unit 1 partial meltdown (declassified 2016); liquidator CVD ERR/Gy=0.47","Environ Int 2021 doi:10.1016/j.envint.2020.106282 PMID:33395933; PMID:33354965 Volyn; PMID:28542008 CVD; Wilson Center KGB archives 2016","67% of 2018 grain samples exceeded limit; Sr-90 remains persistent food hazard near CEZ perimeter; Soviet 1982 Unit 1 incident newly confirmed from KGB archives; CVD in Russian liquidators dose-response confirmed ERR/Gy=0.47"
"chernobyl_economic_impact_REAL.csv","socioeconomic","20_rows","1986-2024","Economic costs: total damages $235-700B (IAEA/scaled); Belarus peak 22.3% national budget 1991→6.1% 2002→$13B total 1991-2003; Ukraine 5-7% annual budget; NSC €1.5B (45 donor countries); total SIP €2.1B; ~200000 permanently displaced; 7M social benefits recipients; CEZ 2600 km2 lost production; decommission target 2064","IAEA Chernobyl Legacy 2005; UNDP 2002; EBRD; Chernobyl Forum 2005; WHO Chernobyl Legacy","Belarus-specific total losses 1986-2015: $235 billion (>30 years national budget); Ukraine $20B documented 1991-2015; Russia $12.6B 1986-1989 Soviet phase; ongoing annual costs in 3 states make Chernobyl largest industrial accident economic burden in history"
"rbmk_fuel_specifications_REAL.csv","nuclear_engineering","21_rows","1977-present","RBMK-1000 fuel specifications: UO2 pellets; 2.0%→2.8% U-235 enrichment; 18 rods per bundle; 13.6mm rod OD; Zr-1%Nb cladding; 10m assembly; 185 kg; He fill 0.5MPa; 1661 channels; 35,700 MWd/tU burnup; Pu-239 4-6 kg/tHM; 21217 spent assemblies in ISF-2; Am-241 grows in spent fuel; Nb-94 permanent cladding activation","WNA; INSAG-7; IAEA TECDOC-1343/1532; ScienceDirect RBMK modeling; OECD-NEA SFAD; CHNPP","Spent fuel: neutron source requires 100yr cooling; gamma source 50% decrease over 50yr; Am-241 in spent fuel increases for 70yr post-discharge (Pu-241 ingrowth); Zr-2.5Nb pressure tubes (8cm ID) in graphite moderator = unique physics vs Western PWR"
"dnieper_river_contamination_REAL.csv","aquatic_environment","22_rows","1986-2023","Dnieper River system contamination: Pripyat River Sr-90 time series (peak ~100000 Bq/L total activity Apr 1986 → 9.6 Bq/L autumn flood 1988 → 5.9 Bq/L Feb 1994); Kyiv reservoir Cs-137 mean 1.0-0.2 Bq/L (1987-1993) with 2.5-3.5x seasonal summer peak; total fluxes (66 TBq Cs-137; 85±10 TBq Sr-90 cumulative 1986-2000); Cs-137 fate (>50% in Kyiv reservoir sediments; 1-5% to Black Sea); Sr-90 fate (43% to Black Sea); June 6 2023 Kakhovka dam breach; Black Sea current levels Cs-137=56 Bq/m³ Sr-90=32 Bq/m³","Sansone 1996 doi:10.1016/0048-9697(96)05120-0; Vakulovsky 1994 doi:10.1016/0265-931X(94)90055-8; Mirzoyeva 2013 PMID:23522557; Springer 2025 doi:10.1134/S0097807825700113; J Environ Chem Eng 2025","Kakhovka dam destroyed June 6 2023 (Russian invasion) resuspended 37yr accumulated Chernobyl contamination from sediments; Kyiv water supply remained below WHO limits throughout post-accident period; Sr-90 highly mobile (43% to Black Sea) vs Cs-137 particle-reactive (<5% to Black Sea); 2022-2023 Dnieper dissolved Sr-90=427.2 Bq/m³ (below WHO 10 Bq/L); suspended Cs-137=521.9 Bq/kg DM"
"liquidator_noncancer_effects_REAL.csv","health_outcomes","21_rows","1986-2025","Non-cancer health effects in Chernobyl liquidators: posterior subcapsular cataracts ERR/Gy=1.0 (PMID:17267613 n=8607); CVD ERR/Gy=0.47 (PMID:30780859 n=53772); chronic radiation syndrome (~155 cases >300 mGy); leukemia ERR/Gy=1.26 (cross-ref); thyroid nodules 2-5x elevated; neurological cognitive deficits >500 mGy; beta skin burns >100 cases; immune lymphocyte changes; ICRP lens threshold revised to 500 mGy; hereditary effects not detected","Worgul 2007 PMID:17267613 cataracts; Ivanov 2019 PMID:30780859 CVD; ICRP 118 2012; Loganovsky 2008 PMID:18608569; UNSCEAR 2008 Annex D","CVD (ERR/Gy=0.47) and cataracts (PSC) are the two most clearly established non-cancer radiation effects in Chernobyl cohorts; ICRP lowered lens opacity threshold from 2 Gy to 0.5 Gy based partly on Chernobyl evidence; mental health remains primary population burden per WHO"
