parameter,value,units,context,notes,source
aerial_drops_materials_total,5000,tonnes,"May-June 1986","5000 tonnes total: 2400t lead + 1800t sand/clay + 800t dolomite + 40t boron compounds + other; dropped by ~1800 helicopter flights to smother graphite fire and filter releases",WNA Appendix 1; OECD-NEA Ch.I
aerial_drops_lead,2400,tonnes,"April-May 1986","Lead to absorb gamma radiation and smother fire; heated lead released Pb vapors; workers concerned about lead poisoning in addition to radiation",WNA Appendix 1
aerial_drops_boron,40,tonnes,"April-May 1986","Boron carbide (neutron absorber) to prevent any restart of criticality; also sand/clay as physical fire suppressant",WNA Appendix 1
graphite_fire_duration,10,days,"April 26 - May 5 1986","Graphite fire sustained from April 26 to approximately May 9 (extinguished May 9); this drove high-altitude release of radionuclides to European wind patterns",OECD-NEA Ch.II; WNA
ECCS_isolation,isolated,status,"April 25 14:00-26 01:23","Emergency Core Cooling System isolated at 14:00 April 25 and NOT restored before test; safety violation; contributed to inability to respond to accident; ECCS would not have prevented prompt criticality excursion anyway",INSAG-7; WNA
tunnel_workers,400,persons,"15-day period May 1986","400 workers tunneled under reactor in 15 days to install heat exchanger; concern about China Syndrome (corium melting through); heat exchanger turned out not to be needed as corium solidified",WNA; OECD-NEA Ch.I
Pripyat_population,49000,persons,1986,City population at time of accident; evacuated ~36 hours after explosion,OECD-NEA Ch.I
Chernobyl_town_population,12500,persons,1986,Nearby town; evacuated,OECD-NEA Ch.I
30km_zone_population,115000-135000,persons,1986,Total within 30km at time of accident; all evacuated,OECD-NEA Ch.I; UNSCEAR 2008
Pripyat_to_reactor_distance,3,km,,City built to serve plant; high I-131 doses in first 36 hours,OECD-NEA Ch.I
test_intended_purpose,turbine_coastdown_test,type,Safety_test,"Test was to verify whether slowing turbogenerator could power coolant pumps during station blackout; 4th attempt at this test (prior attempts in 1982 1983 1985 all failed to complete)",INSAG-7; WNA
ORM_safety_culture,violated,status,"Test decision","Decision to proceed with ORM=8 (below minimum 15) reflects safety culture failure; shift foreman Aleksandr Akimov signed off; Anatoly Dyatlov supervised despite concerns from operators",INSAG-7
delayed_excursion_mechanism,graphite_tip_plus_void,combined,Physics_of_failure,"Immediate cause: AZ-5 press → graphite tips add +2-3β → combined with positive void from steam → total reactivity >> β → prompt criticality → power 100x in 3 seconds",INSAG-7; reactor physics
