"radionuclide","pathway","food_type","transfer_factor_Fv_low","transfer_factor_Fv_high","units","context","physics_mechanism","notes","source"
"Sr-90","soil_to_plant","root_vegetables","0.05","0.2","Bq_kg_plant_per_Bq_kg_soil_dry","Potato carrot beet; intermediate values; soil particle adhesion also contributes","Sr-90 in root zone follows Ca movement; more mobile than Cs-137; higher in contaminated groundwater-irrigated areas","Ukrainian regions still monitoring Sr-90 in food crops; near Chernobyl some soils still above 70 kBq/m2 Sr-90 threshold","IAEA TRS 472 2010; Ukrainian ScienceDirect 2020"
"Sr-90","soil_to_plant","grass_hay","0.1","0.5","Bq_kg_plant_per_Bq_kg_soil_dry","Grass and hay; higher than Cs-137 because Ca-mimicking in grass nutrition","Grass Ca content determines Sr-90 uptake; dairy cattle absorbing Sr-90 from grass transfer to milk; Sr-90 bone dose pathway for children","Post-Chernobyl monitoring: Sr-90 in milk of Belarus/Ukraine farms continued to be elevated until mid-1990s","IAEA TRS 472 2010; Chernobyl Forum 2005"
"Sr-90","soil_to_milk_cow","milk_cow_Fm","0.001","0.003","d_per_liter","Lower Fm than Cs-137 but higher soil Fv → comparable milk concentrations; bone accumulation means less secreted to milk","Sr absorbed from GI tract; partitioned between bone and soft tissue/milk; biological half-life in bone ~50 years; steady-state secretion to milk = small fraction of body burden","Key Sr-90 dose pathway: infant bone doses from Sr-90 in contaminated milk in 1986-1990 Belarus/Ukraine; pre-school children most vulnerable","IAEA TRS 472 2010; UNSCEAR 2008 Table B5"
"I-131","wet_deposition_to_grass","pasture_grass_interception","0.007","0.83","fraction_intercepted","Depends on biomass and growth stage at time of deposition; geometric mean ~0.3-0.5 growing season","Foliar interception: I-131 in aerosol and gas deposits on leaf surfaces; gaseous I2 and organic iodine have higher deposition velocities than aerosol; rain dramatically increases deposition (wet vs dry)","Critical window: May 1986 in USSR; cows grazing on contaminated pasture; direct deposition → grass → milk → human thyroid; weathering half-life ~10 days from pasture","IAEA TRS 472 2010; J Environ Radioact I-131 Belarus doi:10.1016/j.jenvrad.2022.106975"
"I-131","grass_to_milk_cow","milk_Fm_cow","0.003","0.008","d_per_liter","Fm = 4.0 × 10⁻³ d/L median from post-Chernobyl Belarus measurements; range 6.7 × 10⁻³ geometric mean ± 8.7 × 10⁻³","I-131 rapidly absorbed from gut → blood → thyroid (organified) and milk; biological t1/2 in cow milk ~10 days = longer than physical t1/2 (8.02 days) so both decay simultaneously","USSR delay in milk ban = primary preventable thyroid dose; Poland distributed KI to 18M → much lower thyroid doses despite similar deposition; decontamination_countermeasures_REAL.csv","PMC I-131 Belarus Fm doi:10.1016/j.jenvrad.2022.106975; IAEA TRS 472 2010"
"I-131","grass_to_milk_sheep","milk_Fm_sheep","0.1","0.4","d_per_liter","Sheep milk Fm = ~0.29 ± 0.017 d/L; ~50-100x higher than cow milk","Sheep produce much less milk (L/day) than cows; same daily intake → higher concentration per liter; sheep milk consumption in some affected European regions led to elevated thyroid doses","Goat milk also 10-50x higher Fm than cow milk; important for communities using small ruminants (common in parts of Ukraine/Russia countryside)","IAEA TRS 472 2010"
"I-131","thyroid_dose_pathway","children_thyroid_dose_summary","","","qualitative","Main dose pathway: fresh contaminated cow milk consumed by children in 1986; thyroid dose = intake × Fm × cow feeding × thyroid uptake fraction","Children (0-6 yr) received highest thyroid doses because: 1) drink more milk per kg body weight; 2) smaller thyroid → higher dose per Bq; 3) higher thyroid 131-I uptake fraction in growing children; 4) higher RBE concern not formally quantified","UNSCEAR 2008 p.59: 26% of Belarus pre-school evacuees received >5 Gy thyroid; KI could have reduced by ~90% if given within 2h; decontamination_countermeasures_REAL.csv","UNSCEAR 2008 Annex D Table B5; thyroid_cancer_timeseries_REAL.csv"
"Pu-238","soil_to_plant","cereals_rye_wheat_barley","0.00026","0.00078","Bq_kg_plant_per_Bq_kg_soil_dry","Post-Chernobyl Ukrainian/Belarusian measurements; grain portion only (lower than bran)","Pu in soil exists predominantly as insoluble hydroxide/oxide or bound in fuel particle matrix; extremely low solubility = low root uptake; Pu4+ forms stable soil colloids; minimal food chain transfer","Pu dose pathway: inhalation of resuspended soil particles >> ingestion; dietary Pu from Chernobyl negligible compared to weapons test fallout; UNSCEAR: dietary Pu dose below detection","Soil-to-plant Pu Belarus Chernobyl PMID:15196842; IAEA TRS 472 2010"
"Pu-238","soil_to_plant","root_vegetables","0.001","0.01","Bq_kg_plant_per_Bq_kg_soil_dry","Root vegetables; range reflects soil type variability; peat soils show lowest values (organic matter binding)","Surface contamination from soil adherence contributes significantly; root uptake per se very low; washing and peeling removes most surface-adhered Pu","Pu-239+240 contamination >37 kBq/m2 in ~800 km2 within 30-km zone; outside this zone Pu dietary dose essentially negligible","IAEA TRS 472 2010; PMID:15196842"
"Am-241","soil_to_plant","wheat_grass","0.000001","0.0001","Bq_kg_plant_per_Bq_kg_soil_dry","Wheat/grass; extremely variable; root uptake pathway; inhalation >> ingestion pathway","Am3+ chemistry similar to rare earth elements; forms stable soil colloids like Pu4+; very low solubility; comparable or slightly lower transfer than Pu-239","Am-241 is growing isotope in CEZ soils (ingrowth from Pu-241); alpha emitter (5.49 MeV); primary exposure is inhalation not dietary; 59.5 keV gamma enables aerial survey detection","IAEA TRS 472 2010; Am-241 Belarus PMID:15196842"
"Am-241","soil_to_plant","radishes_root","0.001","0.02","Bq_kg_plant_per_Bq_kg_soil_dry","Higher transfer in radishes and carrot due to root feeding zone and high soil-contact surface area","Higher Fv for Am in root vegetables vs cereals; surface contamination dominates; dietary dose still negligible relative to inhalation","In CEZ areas with >37 kBq/m2 Am-241 (which is still increasing): agricultural use restricted; am241_ingrowth_timeseries_REAL.csv","OSTI Am-241 soil-plant; IAEA TRS 472 2010"
"Cs-137","aging_effect_on_transfer","all_crops","","","qualitative","Time-dependent decrease in soil-to-plant transfer factor; 1986 values 10-50x higher than 2010 values for same soil activity","Clay mineral fixation of Cs-137 (illite vermiculite): Cs+ enters interlayer sites of clay minerals ('frayed edge sites'); becomes non-exchangeable over years to decades; reduction in exchangeable fraction → lower plant uptake","This aging explains why CEZ is still contaminated but food crops outside CEZ are now mostly within limits despite elevated soil Cs-137; mushrooms/forest bypasses fixation mechanism","Radiocaesium fixation review Absalom 1995; IAEA TRS 472 2010; Nisbet and Woodman 2000 PMID:10688450"
"Cs-137","potassium_fertilizer_effect","cereals_pasture","0.33","0.50","fold_reduction_in_transfer","K fertilizer competitive exclusion of Cs+ from K+ plant uptake channels; used as countermeasure in Belarus/Ukraine","Potassium and Cs compete for the same plant uptake transporters; adding K fertilizer (at 200-400 kg/ha) reduces Cs-137 crop uptake by 33-50%; primary agricultural countermeasure","More effective in K-poor soils; 2-14x reduction in contaminated products reported (decontamination_countermeasures_REAL.csv); not effective for Sr-90","IAEA TRS 472 2010; Chernobyl Forum environment 2005; Nisbet and Woodman 2000"
"Sr-90","liming_effect","cereals_grass","0.3","0.7","fold_reduction_in_transfer","Liming raises pH and adds Ca2+ which competitively reduces Sr2+ uptake; primary Sr-90 countermeasure","Ca2+ and Sr2+ use same uptake transporters; high soil Ca reduces Sr-90 fractional transfer to plants; also reduces I-131 (minor); does NOT reduce Cs-137 uptake","10-30x reduction in Cs-137 in podzolic soils from liming (primarily via pH effect on clay fixation); lime was applied to 2 million ha in USSR post-Chernobyl","IAEA TRS 472 2010; Chernobyl Forum environment 2005; decontamination_countermeasures_REAL.csv"
