"date","time_local_Kiev","event","event_type","physics_significance","source"
"1986-04-26","01:23:43","Reactor power excursion begins; power rising rapidly; fuel fragmentation begins at ~5x rated power (~16000 MWt)","prompt_criticality","Combined positive reactivity: graphite tips (+2-3β) + existing steam voids (~+7β) = total reactivity >>β (0.005); reactor went prompt critical; responds on prompt neutron lifetime ~10 microseconds; mechanical rods cannot stop it; power doubles every few milliseconds","INSAG-7 §3.4; reactor physics; reactor_physics_REAL.csv"
"1986-04-26","01:23:44","First explosion: peak power estimated ~30000 MWt (10x rated); fuel fragmentation; steam explosion","explosion_1","Rapid fission power pulse → fuel temperature to ~3000°C (UO2 melts ~2850°C) → hot fuel fragments contact water → explosive steam generation; pressure wave destroys fuel channels; enormous pressure spike; 1000-tonne Elena reactor lid (biological shield) ejected vertically","INSAG-7 §3.5; OECD-NEA Ch.I"
"1986-04-26","01:23:46_to_58","Second explosion (disputed mechanism); 1000-tonne reactor lid ejected; reactor building roof destroyed","explosion_2","Second explosion hypothesis 1: steam (explosive steam release continuing); hypothesis 2: hydrogen from Zr+H2O → ZrO2+H2 ignition; hypothesis 3: small nuclear excursion (Pakhomov/Dubasov 2009); INSAG-7 (1991) revised INSAG-1 (1986): graphite tip effect = primary cause of first excursion; second explosion mechanism remains scientifically debated","INSAG-7; Pakhomov and Dubasov 2009; Sich 1994"
"1986-04-26","01:24_to_01:30","Graphite fire begins; ~300 tonnes of ejected graphite burning on roof and surroundings; multiple roof fires","fire_start","Graphite moderator blocks ejected at >1200°C catch fire on contact with air; extremely difficult to extinguish (graphite fire requires thermal smothering not water — water on burning graphite produces explosive H2); first firefighters called; 28 fire brigade personnel respond","Historical record; OECD-NEA Ch.I"
"1986-04-26","01:30","First firefighters arrive from Chernobyl fire station; begin fighting building and roof fires","emergency_response","Firefighters not warned of radiation hazard; told it was 'ordinary fire'; standard firefighting gear only; many received fatal radiation doses fighting roof fires directly on highly contaminated graphite; 28 acute deaths from ARS","Historical; ars_cases_REAL.csv"
"1986-04-26","02:00_to_06:00","Firefighting continues; ~237 emergency workers examined; first ARS signs appear (nausea vomiting skin erythema)","medical","Vomiting began within 1-4 hours in highest-dose recipients (Grade III-IV ARS); early vomiting is diagnostic of ARS grade; Dr. Angelina Guskova at Moscow Hospital No.6 begins establishing clinical protocol","UNSCEAR 2008 p.58; ars_cases_REAL.csv"
"1986-04-26","04:00","Reactor fire and graphite fire declared extinguished by fire brigade; but graphite fire in reactor core continues","fire_status","Surface fires extinguished; core graphite fire underground continued for 10 days; this is the source of continued radionuclide release April 26 - May 9","INSAG-7; OECD-NEA Ch.II"
"1986-04-26","05:00","First radiation measurements: 1000-3600 R/hr (10-36 Sv/hr) at various locations near reactor","radiation_measurements","Soviet civil defense dosimeters saturated at 1000 R/hr (not calibrated for accident-level fields); true doses in some areas exceeded instrument range; measurements used for evacuation decisions","Historical; INSAG-7"
"1986-04-26","06:00","Valery Khodemchuk's body confirmed missing in reactor rubble (never recovered); Vladimir Shashenok pronounced dead from burns and radiation at Prypiat Hospital","deaths","First 2 confirmed deaths: Khodemchuk died in steam explosion; Shashenok died of combined thermal and radiation injuries; 28 more ARS deaths would follow","Historical record; ars_cases_REAL.csv"
"1986-04-26","07:00","Soviet leadership informed; OPAS (special nuclear accident response) system activated; USSA committee sent to site","governmental","Information kept secret from public; no evacuation order yet; Prypiat residents (49000) not informed for 36 hours; Soviet system required ministerial approval for emergency actions","Historical; INSAG-7"
"1986-04-26","09:00","Helicopter survey of reactor; graphite and fuel scattered in wide area confirmed; aerial radiation measurements begin","assessment","Helicopter survey confirmed catastrophic core destruction; extent of contamination visible; decision made to begin aerial drops but logistics required time; high gamma fields deterred ground survey","OECD-NEA Ch.I; WNA"
"1986-04-26","10:00","Start of helicopter aerial drops: sand lead dolomite boron carbide to cover reactor and extinguish graphite fire","response","1800 helicopter flights total; 2400t lead + 1800t sand/clay + 800t dolomite + 40t boron + other; boron to prevent criticality restart; materials mostly did not reach reactor core cavity effectively due to strong updraft of hot gas","WNA Appendix 1; reactor_physics_REAL.csv"
"1986-04-26","13:00","Prypiat executive committee meets to discuss evacuation; Soviet Politburo contacted","governmental","36-hour delay in Prypiat evacuation; residents continued normal activities including outdoors; children played in schoolyards April 26; high I-131 deposition occurring; irreversible thyroid dose accumulating especially in children","Historical; UNSCEAR 2008 thyroid doses; decontamination_countermeasures_REAL.csv"
"1986-04-27","02:00","Evacuation of Prypiat (49000 people) officially ordered; preparation begins","evacuation","Official order came 36+ hours post-accident; preparation required collecting 1100 buses from Kiev region; KI (potassium iodide) tablets NOT distributed in Prypiat before evacuation","Historical; decontamination_countermeasures_REAL.csv"
"1986-04-27","14:00","Prypiat evacuation begins; residents told they could return in 3 days (they never did)","evacuation","Evacuation completed in approximately 3.5 hours for 49000 people using 1100 buses; residents told temporary evacuation for 3 days; many left without taking personal documents; never permitted to return permanently","Historical; INSAG-7; OECD-NEA Ch.I"
"1986-04-28","09:00","Forsmark Nuclear Power Plant (Sweden, 1100 km away) detects radiation on workers' clothing; identifies as Chernobyl isotope mix","international_detection","Worker at Forsmark stepped on something on the ground and set off contamination alarms; shoes contained Chernobyl-origin particles; Swedish scientists identified I-131/Cs-134/Cs-137 ratio as reactor accident; forced first Soviet admission of accident","Historical; atmospheric_transport_plume_REAL.csv"
"1986-04-28","21:00","Soviet news agency TASS issues 14-word statement: 'An accident has occurred at the Chernobyl nuclear power plant; one of the reactors was damaged. Measures are being taken to eliminate the consequences.'","public_information","First (and minimal) official Soviet public acknowledgment; approximately 64 hours after explosion; no details about scale; no radiation monitoring advice to public; Western media had already been reporting from Swedish detection","Historical record"
"1986-04-28_to_05-05","ongoing","Second plume path: Central and Southern Europe affected (Austria Germany Poland France)","atmospheric_transport","Wind shift directed plume south and southwest; May 1 1986 plume reaches France; May 5 Magdeburg Germany thunderstorm deposits ~75000 Bq/kg Cs-137 on grass; Romanian mountains peak 176 mBq/m3 Cs-137 in air","IRSN retrospective 2006; atmospheric_transport_plume_REAL.csv"
"1986-04-29","","Poland becomes ONLY country in USSR/Eastern Bloc to distribute KI tablets; 18 million people receive tablets","countermeasures","Polish health authorities acted independently and early; KI blocks thyroid uptake of I-131 when given within 2h of exposure; Polish thyroid cancer rates dramatically lower than Belarus/Ukraine despite similar deposition levels in eastern Poland","Historical; decontamination_countermeasures_REAL.csv; thyroid data"
"1986-05-01","00:00","30-km exclusion zone formally established; 135000 people ordered to evacuate from surrounding villages","evacuation","Initial 10km zone expanded to 30km zone; villages within zone evacuated over following days; total 115000-135000 people displaced; many received significant doses during the days before evacuation","OECD-NEA Ch.I; UNSCEAR 2008; contamination_zones_REAL.csv"
"1986-05-01_to_09","ongoing","Third plume path reaches UK and Ireland; May 1-10 1986","atmospheric_transport","Plume reaches British Isles; UK maximum milk I-131 12-77 Bq/L depending on region; Ireland maximum milk 441 Bq/L; restrictions on sheep (North Wales/Cumbria UK) lasted for years; Met Eireann confirmed arrival via rain events","Met Eireann; EPA Ireland; atmospheric_transport_plume_REAL.csv"
"1986-05-02","","Soviet decision to flood tunnel under reactor foundation to install cooling system (China Syndrome concern)","engineering_response","Fear that corium could melt through foundation and contaminate groundwater (China Syndrome); 400 workers dug tunnel in 15 days; heat exchanger installed; ultimately unnecessary — corium solidified naturally; workers received significant doses","WNA; OECD-NEA Ch.I; reactor_physics_REAL.csv"
"1986-05-09","","Graphite fire in reactor core declared extinguished after 13 days","fire_end","Graphite fire burned from April 26 to May 9; was primary driver of high-altitude radionuclide release to European plume; aerial drops of 5000 tonnes finally effective with sand/clay physical smothering; fire extinguished by May 9 per OECD-NEA Ch.II","OECD-NEA Ch.II; WNA Appendix 1"
"1986-05-14","","Soviet leader Gorbachev makes first TV address about accident; 18 days post-accident","public_information","First major public Soviet acknowledgment of scale of disaster; partial information only; international relations with IAEA; led to eventual greater transparency compared to initial coverup","Historical"
"1986-05_to_11","ongoing","Liquidator campaigns: 600000-800000 workers from USSR mobilized for cleanup operations","cleanup","Liquidators included firefighters military personnel miners civil workers scientists; tasks included roof cleanup (highly radioactive graphite), decontamination of buildings, soil removal, construction; doses varied enormously: highest doses in 1986 roof cleaners","UNSCEAR 2008 p.82-84; unscear_liquidator_doses_REAL.csv"
"1986-06-01","","Roof decontamination begins; 'bio-robots' (humans in lead shielding) remove graphite from roof by hand","cleanup_operations","Called 'bio-robots' because real robots failed (electronics failed in radiation fields); workers given only 90 seconds on the roof; many received 25-35 rem per 90 seconds shift; over 3000 workers cleaned the roof; all received significant doses","Historical; unscear_liquidator_doses_REAL.csv"
"1986-11","","Original concrete 'sarcophagus' (Object Shelter) construction completed; encases destroyed reactor","containment","Sarcophagus built in 206 days by ~90000 construction workers; not airtight; designed for 30-year lifetime; contains 170-220 tonnes corium; ~1375 m3 of radioactive water accumulated inside","WNA; corium_fcm_physics_REAL.csv; decontamination_countermeasures_REAL.csv"
"1987-02","","Trial of six Chernobyl plant officials begins; Dyatlov Bryukhanov Fomin and 3 others convicted","legal","Anatoly Dyatlov (deputy chief engineer who supervised test) received 10 years; Viktor Bryukhanov (plant director) 10 years; all charges related to violations of safety procedures; reactor design flaws NOT acknowledged in 1987 trial; INSAG-7 (1991) later revised root cause attribution","Historical; INSAG-7 1991"
"1991","","INSAG-7 published; revises INSAG-1 (1986) root cause; identifies both design flaws AND operator violations as necessary causes","safety_analysis","INSAG-1 (1986) blamed primarily operators; INSAG-7 (1991) acknowledged graphite tip effect and positive void coefficient as essential contributors; 'neither the design deficiencies nor the operators' procedural violations alone would have been sufficient to cause the accident'","INSAG-7 1991 IAEA/INSAG-7; rbmk_safety_modifications_REAL.csv"
"2000-12-15","","Chernobyl Unit 3 (last operating unit) shut down; all Chernobyl units now permanently closed","plant_closure","Units 1-3 continued operating after accident (Unit 2 shut 1991 after fire; Unit 1 shut 1996; Unit 3 shut Dec 15 2000); final shutdown under international pressure and Ukrainian government decision; ISF-2 dry cask storage project begins","WNA; IAEA; corium_fcm_physics_REAL.csv"
"2016-11-29","","New Safe Confinement (NSC) successfully slid over old sarcophagus; largest moveable land structure ever built","engineering","NSC: 108m high; 162m wide; 257m long; arch steel structure; 36000 tonnes; built 300m away then slid on teflon rails over sarcophagus in 2-week operation; designed for 100-year lifetime; prevents further radionuclide release from deteriorating sarcophagus","WNA; corium_fcm_physics_REAL.csv; decontamination_countermeasures_REAL.csv"
"2022-02-24","","Russian military forces seize Chernobyl site during invasion of Ukraine; heavy vehicle traffic in Red Forest","military_event","Russian military convoy passed through Red Forest (most contaminated soil in CEZ); tracked vehicles resuspended contaminated soil particles; dose rates spiked to 70x normal for ~2 days; IAEA lost continuous monitoring contact; trench-digging in Red Forest area documented","NEA/CRPPH/R(2024)3; modern_monitoring_REAL.csv"
"2022-03-31","","Russian forces withdraw from Chernobyl site; Ukrainian authorities re-establish control","military_event","Continuous IAEA remote monitoring restored; dose rates returned to pre-invasion levels after ~48 hours of elevated readings; vegetation regrowth in disturbed areas began; some contamination redistribution from vehicle disturbance; ongoing assessment","NEA/CRPPH/R(2024)3; modern_monitoring_REAL.csv"
"2025-02","","New Safe Confinement sustains damage from drone strike; structural assessment and repair planning initiated","current_events","Drone strike caused assessed damage to NSC structure; IAEA confirmed no significant radiological release during incident; structural integrity maintained but repairs required; Sep 2025 repair work planned","NEA 2024; modern_monitoring_REAL.csv"
"2025-09","","Mirion Technologies OSL integrated monitoring system installed within NSC; radiation measurements improved","current_events","New optically stimulated luminescence dosimetry system provides better spatial dose mapping inside NSC; improves monitoring of corium regions and spent fuel areas","modern_monitoring_REAL.csv; Mirion Technologies 2025"
"2025-10","","NSC experiences 16-hour power loss; backup systems activated; no radiological release confirmed","current_events","Grid power loss to NSC electrical systems; ventilation and monitoring ran on backup power; 16-hour event resolved; ongoing war-related grid instability in Ukraine is persistent risk factor for Chernobyl site","modern_monitoring_REAL.csv; NEA 2024 ongoing"
"2026-04-26","","40th anniversary of Chernobyl accident; current dose rates (SaveEcoBot): Prypiat 4.932 µSv/h; Chornobyl city 0.209 µSv/h","current_state","Current Prypiat dose rate ~4.932 µSv/h = ~43 mSv/yr; above 1 mSv/yr public dose limit; town remains uninhabitable; Chornobyl city 0.209 µSv/h ≈ 1.8 mSv/yr; near background; some return possible; Am-241 still increasing toward 2058.7 peak","SaveEcoBot Apr 2026; modern_monitoring_REAL.csv; am241_ingrowth_timeseries_REAL.csv"
